consumer_price_index_item,year,annual_percent_change
Sugar and sweets,2007,3.1
Cereals and bakery products,2007,4.4
Nonalcoholic beverages,2007,4.1
Other foods,2007,1.8
All food,2008,5.5
Food away from home,2008,4.4
Food at home,2008,6.4
"Meats, poultry, and fish",2008,4.2
Meats ,2008,3.5
Beef and veal,2008,4.5
Pork,2008,2.3
Other meats,2008,3.1
Poultry,2008,5
Fish and seafood,2008,5.9
Eggs,2008,14
Dairy products,2008,8
Fats and oils,2008,13.8
Fruits and vegetables,2008,6.2
Fresh fruits and vegetables,2008,5.2
Fresh fruits  ,2008,4.8
Fresh vegetables,2008,5.6
Processed fruits and vegetables,2008,9.5
Sugar and sweets,2008,5.5
Cereals and bakery products,2008,10.2
Nonalcoholic beverages,2008,4.3
Other foods,2008,5.2
All food,2009,1.8
Food away from home,2009,3.5
Food at home,2009,0.5
"Meats, poultry, and fish",2009,0.5
Meats ,2009,-0.6
Beef and veal,2009,-1
Pork,2009,-2
Other meats,2009,2.3
Poultry,2009,1.7
Fish and seafood,2009,3.6
Eggs,2009,-14.7
Dairy products,2009,-6.4
Fats and oils,2009,2.3
Fruits and vegetables,2009,-2.1
Fresh fruits and vegetables,2009,-4.8
Fresh fruits  ,2009,-6.1
Fresh vegetables,2009,-3.4
Processed fruits and vegetables,2009,6.6
Sugar and sweets,2009,5.6
Cereals and bakery products,2009,3.2
Nonalcoholic beverages,2009,1.9
Other foods,2009,3.7
All food,2010,0.8
Food away from home,2010,1.3
Food at home,2010,0.3
"Meats, poultry, and fish",2010,1.9
Meats ,2010,2.8
Beef and veal,2010,2.9
Pork,2010,4.7
Other meats,2010,-0.1
Poultry,2010,-0.1
Fish and seafood,2010,1.1
Eggs,2010,1.5
Dairy products,2010,1.1
Fats and oils,2010,-0.3
Fruits and vegetables,2010,0.2
Fresh fruits and vegetables,2010,0.7
Fresh fruits  ,2010,-0.6
Fresh vegetables,2010,2
Processed fruits and vegetables,2010,-1.3
Sugar and sweets,2010,2.2
Cereals and bakery products,2010,-0.8
Nonalcoholic beverages,2010,-0.9
Other foods,2010,-0.5
All food,2011,3.7
Food away from home,2011,2.3
Food at home,2011,4.8
"Meats, poultry, and fish",2011,7.4
Meats ,2011,8.8
Beef and veal,2011,10.2
Pork,2011,8.5
Other meats,2011,6.4
Poultry,2011,2.9
Fish and seafood,2011,7.1
Eggs,2011,9.2
Dairy products,2011,6.8
Fats and oils,2011,9.3
Fruits and vegetables,2011,4.1
Fresh fruits and vegetables,2011,4.5
Fresh fruits  ,2011,3.3
Fresh vegetables,2011,5.6
Processed fruits and vegetables,2011,2.9
Sugar and sweets,2011,3.3
Cereals and bakery products,2011,3.9
Nonalcoholic beverages,2011,3.2
Other foods,2011,2.3
All food,2012,2.6
Food away from home,2012,2.8
Food at home,2012,2.5
"Meats, poultry, and fish",2012,3.6
Meats ,2012,3.4
Beef and veal,2012,6.4
Pork,2012,0.3
Other meats,2012,1.7
Poultry,2012,5.5
Fish and seafood,2012,2.4
Eggs,2012,3.2
Dairy products,2012,2.1
Fats and oils,2012,6.1
Fruits and vegetables,2012,-0.6
Fresh fruits and vegetables,2012,-2
Fresh fruits  ,2012,1
Fresh vegetables,2012,-5.1
Processed fruits and vegetables,2012,3.8
Sugar and sweets,2012,3.3
Cereals and bakery products,2012,2.8
Nonalcoholic beverages,2012,1.1
Other foods,2012,3.5
All food,2013,1.4
Food away from home,2013,2.1
Food at home,2013,0.9
"Meats, poultry, and fish",2013,2.1
Meats ,2013,1.2
Beef and veal,2013,2
Pork,2013,0.9
Other meats,2013,-0.1
Poultry,2013,4.7
Fish and seafood,2013,2.5
Eggs,2013,3.3
Dairy products,2013,0.1
Fats and oils,2013,-1.4
Fruits and vegetables,2013,2.5
Fresh fruits and vegetables,2013,3.3
Fresh fruits  ,2013,2
Fresh vegetables,2013,4.7
Processed fruits and vegetables,2013,0.3
Sugar and sweets,2013,-1.7
Cereals and bakery products,2013,1
Nonalcoholic beverages,2013,-1
Other foods,2013,0.5
All food,2014,2.4
Food away from home,2014,2.4
Food at home,2014,2.4
"Meats, poultry, and fish",2014,7.2
Meats ,2014,9.2
Beef and veal,2014,12.1
Pork,2014,9.1
Other meats,2014,3.9
Poultry,2014,2
Fish and seafood,2014,5.8
Eggs,2014,8.4
Dairy products,2014,3.6
Fats and oils,2014,0.1
Fruits and vegetables,2014,1.5
Fresh fruits and vegetables,2014,1.9
Fresh fruits  ,2014,4.8
Fresh vegetables,2014,-1.3
Processed fruits and vegetables,2014,0.1
Sugar and sweets,2014,-0.8
Cereals and bakery products,2014,0.2
Nonalcoholic beverages,2014,-0.5
Other foods,2014,1
All food,2015,1.9
Food away from home,2015,2.9
Food at home,2015,1.2
"Meats, poultry, and fish",2015,1.9
Meats ,2015,3
Beef and veal,2015,7.2
Pork,2015,-3.9
Other meats,2015,4.1
Poultry,2015,0.4
Fish and seafood,2015,-0.9
Eggs,2015,17.8
Dairy products,2015,-1.3
Fats and oils,2015,-1
Fruits and vegetables,2015,-0.2
Fresh fruits and vegetables,2015,-0.5
Fresh fruits  ,2015,-2.2
Fresh vegetables,2015,1.6
Processed fruits and vegetables,2015,0.7
Sugar and sweets,2015,3.2
Cereals and bakery products,2015,1.1
Nonalcoholic beverages,2015,1.1
Other foods,2015,1.6
All food,2016,0.3
Food away from home,2016,2.6
Food at home,2016,-1.3
"Meats, poultry, and fish",2016,-3.5
Meats ,2016,-4.4
Beef and veal,2016,-6.3
Pork,2016,-4.1
Other meats,2016,-0.9
Poultry,2016,-2.7
Fish and seafood,2016,-0.7
Eggs,2016,-21.1
Dairy products,2016,-2.3
Fats and oils,2016,-0.6
Fruits and vegetables,2016,0.8
Fresh fruits and vegetables,2016,1.2
Fresh fruits  ,2016,2.2
Fresh vegetables,2016,0
Processed fruits and vegetables,2016,-0.3
Sugar and sweets,2016,-0.4
Cereals and bakery products,2016,-0.3
Nonalcoholic beverages,2016,-0.4
Other foods,2016,0.3
All food,2017,0.9
Food away from home,2017,2.3
Food at home,2017,-0.2
"Meats, poultry, and fish",2017,-0.1
Meats ,2017,-0.6
Beef and veal,2017,-1.2
Pork,2017,0.6
Other meats,2017,-0.9
Poultry,2017,0.2
Fish and seafood,2017,1.2
Eggs,2017,-9.5
Dairy products,2017,0.1
Fats and oils,2017,0.8
Fruits and vegetables,2017,-0.2
Fresh fruits and vegetables,2017,0.2
Fresh fruits  ,2017,0.5
Fresh vegetables,2017,-0.1
Processed fruits and vegetables,2017,-1.6
Sugar and sweets,2017,-0.1
Cereals and bakery products,2017,-0.5
Nonalcoholic beverages,2017,0.2
Other foods,2017,0.1
All food,2018,1.4
Food away from home,2018,2.6
Food at home,2018,0.4
"Meats, poultry, and fish",2018,0.7
Meats ,2018,0.4
Beef and veal,2018,1.4
Pork,2018,-0.4
Other meats,2018,-0.4
Poultry,2018,0.3
Fish and seafood,2018,2.1
Eggs,2018,10.8
Dairy products,2018,-0.5
Fats and oils,2018,0.1
Fruits and vegetables,2018,0.7
Fresh fruits and vegetables,2018,1.1
