cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
Nonalcoholic beverages,7,2015.0,0.0,1.0,2.0,2015
Nonalcoholic beverages,8,2015.0,0.4,1.1,1.9,2015
Nonalcoholic beverages,9,2015.0,0.6,1.2,1.8,2015
Nonalcoholic beverages,10,2015.0,0.8,1.2,1.6,2015
Nonalcoholic beverages,11,2015.0,1.0,1.3,1.6,2015
Nonalcoholic beverages,12,2015.0,1.0,1.2,1.3,2015
Other foods,7,2014.0,-1.2,1.9,5.1,2015
Other foods,8,2014.0,-1.1,2.5,6.1,2015
Other foods,9,2014.0,-1.1,2.1,5.6,2015
Other foods,10,2014.0,-1.7,1.4,4.7,2015
Other foods,11,2014.0,-4.0,-0.6,2.9,2015
Other foods,12,2014.0,-2.0,0.8,3.6,2015
Other foods,1,2015.0,-0.7,1.5,3.7,2015
Other foods,2,2015.0,-0.9,1.0,3.0,2015
Other foods,3,2015.0,0.1,1.8,3.5,2015
Other foods,4,2015.0,0.2,1.6,3.1,2015
Other foods,5,2015.0,0.5,1.8,3.1,2015
Other foods,6,2015.0,0.8,1.8,2.8,2015
Other foods,7,2015.0,1.1,1.9,2.8,2015
Other foods,8,2015.0,1.3,2.0,2.7,2015
Other foods,9,2015.0,1.2,1.7,2.3,2015
Other foods,10,2015.0,1.5,1.8,2.2,2015
Other foods,11,2015.0,1.5,1.8,2.0,2015
Other foods,12,2015.0,1.5,1.7,1.8,2015
