DATE,CPIUFDNS_PC1
1978-11-01,11.24438
1978-12-01,11.80867
1979-01-01,12.37113
1979-02-01,13.08140
1979-03-01,12.78736
1979-04-01,12.02263
1979-05-01,11.43654
1979-06-01,10.01372
1979-07-01,10.09550
1979-08-01,9.67302
1979-09-01,9.93197
1979-10-01,9.87821
1979-11-01,9.83827
1979-12-01,10.16043
1980-01-01,8.91219
1980-02-01,7.32648
1980-03-01,7.38854
1980-04-01,7.19697
1980-05-01,6.75845
1980-06-01,7.10723
1980-07-01,7.55886
1980-08-01,9.56522
1980-09-01,10.14851
1980-10-01,10.09852
1980-11-01,10.55215
1980-12-01,10.19417
1981-01-01,10.10830
1981-02-01,10.53892
1981-03-01,10.08304
1981-04-01,9.54064
1981-05-01,8.90973
1981-06-01,8.49825
1981-07-01,8.41014
1981-08-01,7.14286
1981-09-01,6.40449
1981-10-01,5.81655
1981-11-01,4.77248
1981-12-01,4.29515
1982-01-01,4.69945
1982-02-01,4.65872
1982-03-01,3.87931
1982-04-01,4.08602
1982-05-01,4.73628
1982-06-01,5.25751
1982-07-01,4.46334
1982-08-01,3.59788
1982-09-01,3.48469
1982-10-01,3.38266
1982-11-01,3.38983
1982-12-01,3.06230
1983-01-01,2.50522
1983-02-01,1.96687
1983-03-01,2.69710
1983-04-01,2.78926
1983-05-01,2.46660
1983-06-01,1.42712
1983-07-01,1.22075
1983-08-01,1.73647
1983-09-01,1.73469
1983-10-01,2.04499
1983-11-01,2.15164
1983-12-01,2.66393
1984-01-01,3.86965
1984-02-01,4.56853
1984-03-01,4.04040
1984-04-01,3.51759
1984-05-01,3.00903
1984-06-01,3.41709
1984-07-01,3.81910
1984-08-01,4.31727
1984-09-01,4.01204
1984-10-01,3.90782
1984-11-01,3.91174
1984-12-01,3.79242
1985-01-01,2.64706
1985-02-01,2.42718
1985-03-01,2.42718
1985-04-01,2.42718
1985-05-01,2.53165
1985-06-01,2.42954
1985-07-01,2.12972
1985-08-01,1.53994
1985-09-01,1.83221
1985-10-01,1.83221
1985-11-01,2.31660
1985-12-01,2.59615
1986-01-01,2.76982
1986-02-01,1.89573
1986-03-01,1.89573
1986-04-01,2.08531
1986-05-01,2.56410
1986-06-01,2.56167
1986-07-01,3.41232
1986-08-01,4.26540
1986-09-01,4.26136
1986-10-01,4.45076
1986-11-01,4.33962
1986-12-01,3.84255
1987-01-01,4.18216
1987-02-01,4.65116
1987-03-01,4.65116
1987-04-01,4.73538
1987-05-01,4.90741
1987-06-01,5.27290
1987-07-01,4.21632
1987-08-01,3.45455
1987-09-01,3.63306
1987-10-01,3.62647
1987-11-01,3.25497
1987-12-01,3.51986
1988-01-01,3.21142
1988-02-01,2.84444
1988-03-01,3.02222
1988-04-01,3.36879
1988-05-01,3.26567
1988-06-01,3.33919
1988-07-01,4.48549
1988-08-01,4.92091
1988-09-01,5.34619
1988-10-01,5.24934
1988-11-01,5.25394
1988-12-01,5.23104
1989-01-01,5.61798
1989-02-01,6.22299
1989-03-01,6.55738
1989-04-01,6.51801
1989-05-01,6.75214
1989-06-01,6.29252
1989-07-01,5.63973
1989-08-01,5.36013
1989-09-01,4.90849
1989-10-01,5.15378
1989-11-01,5.57404
1989-12-01,5.55095
1990-01-01,6.71031
1990-02-01,6.83483
1990-03-01,6.47773
1990-04-01,5.71659
1990-05-01,5.12410
1990-06-01,5.60000
1990-07-01,5.73705
1990-08-01,5.64388
1990-09-01,5.63045
1990-10-01,5.61265
1990-11-01,5.59496
1990-12-01,5.33752
1991-01-01,4.14110
1991-02-01,3.19878
1991-03-01,3.26996
1991-04-01,4.11272
1991-05-01,4.18888
1991-06-01,3.93939
1991-07-01,2.86360
1991-08-01,2.33258
1991-09-01,2.10210
1991-10-01,1.64671
1991-11-01,1.64179
1991-12-01,1.86289
1992-01-01,1.03093
1992-02-01,1.47601
1992-03-01,1.69367
1992-04-01,1.02414
1992-05-01,0.43860
1992-06-01,0.14577
1992-07-01,0.51282
1992-08-01,1.47059
1992-09-01,1.83824
1992-10-01,1.84094
1992-11-01,1.54185
1992-12-01,1.46306
1993-01-01,1.89504
1993-02-01,1.74545
1993-03-01,1.44823
1993-04-01,1.81028
1993-05-01,2.69287
1993-06-01,2.18341
1993-07-01,2.25948
1993-08-01,2.02899
1993-09-01,1.87726
1993-10-01,2.38612
1993-11-01,2.60304
1993-12-01,2.88392
1994-01-01,2.78970
1994-02-01,2.14439
1994-03-01,2.21271
1994-04-01,1.99147
1994-05-01,1.70092
1994-06-01,2.20798
1994-07-01,2.77976
1994-08-01,2.84091
1994-09-01,2.76400
1994-10-01,2.40113
1994-11-01,2.39605
1994-12-01,2.87316
1995-01-01,2.64440
1995-02-01,3.14906
1995-03-01,2.93296
1995-04-01,3.48675
1995-05-01,3.34495
1995-06-01,3.06620
1995-07-01,2.70458
1995-08-01,2.48619
1995-09-01,2.68966
1995-10-01,3.03448
1995-11-01,2.82175
1995-12-01,2.11172
1996-01-01,2.37288
1996-02-01,2.30665
1996-03-01,2.84939
