product_name,year,month,us_city_average_retail_price,category
American Cheese,2012,3,4.316,Dairy Products
American Cheese,2012,4,4.252,Dairy Products
American Cheese,2012,5,4.218,Dairy Products
American Cheese,2012,6,4.03,Dairy Products
American Cheese,2012,7,4.052,Dairy Products
American Cheese,2012,8,4.085,Dairy Products
American Cheese,2012,9,4.127,Dairy Products
American Cheese,2012,10,4.093,Dairy Products
American Cheese,2012,11,4.188,Dairy Products
American Cheese,2012,12,4.237,Dairy Products
American Cheese,2013,1,4.258,Dairy Products
American Cheese,2013,2,4.238,Dairy Products
American Cheese,2013,3,4.207,Dairy Products
American Cheese,2013,4,4.131,Dairy Products
American Cheese,2013,5,4.065,Dairy Products
American Cheese,2013,6,4.085,Dairy Products
American Cheese,2013,7,4.092,Dairy Products
American Cheese,2013,8,4.135,Dairy Products
American Cheese,2013,9,4.137,Dairy Products
American Cheese,2013,10,4.088,Dairy Products
American Cheese,2013,11,4.317,Dairy Products
American Cheese,2013,12,4.345,Dairy Products
American Cheese,2014,1,4.286,Dairy Products
American Cheese,2014,2,4.286,Dairy Products
American Cheese,2014,3,4.46,Dairy Products
American Cheese,2014,4,4.535,Dairy Products
American Cheese,2014,5,4.515,Dairy Products
American Cheese,2014,6,4.412,Dairy Products
American Cheese,2014,7,4.426,Dairy Products
American Cheese,2014,8,4.482,Dairy Products
American Cheese,2014,9,4.45,Dairy Products
American Cheese,2014,10,4.487,Dairy Products
American Cheese,2014,11,4.87,Dairy Products
American Cheese,2014,12,4.713,Dairy Products
American Cheese,2015,1,4.944,Dairy Products
American Cheese,2015,2,4.598,Dairy Products
American Cheese,2015,3,4.558,Dairy Products
American Cheese,2015,4,4.543,Dairy Products
American Cheese,2015,5,4.417,Dairy Products
American Cheese,2015,6,4.265,Dairy Products
American Cheese,2015,7,4.352,Dairy Products
American Cheese,2015,8,4.346,Dairy Products
American Cheese,2015,9,4.439,Dairy Products
American Cheese,2015,10,4.331,Dairy Products
American Cheese,2015,11,4.333,Dairy Products
American Cheese,2015,12,4.345,Dairy Products
American Cheese,2016,1,4.374,Dairy Products
American Cheese,2016,2,4.436,Dairy Products
American Cheese,2016,3,4.462,Dairy Products
American Cheese,2016,4,4.434,Dairy Products
American Cheese,2016,5,4.325,Dairy Products
American Cheese,2016,6,4.31,Dairy Products
American Cheese,2016,7,4.373,Dairy Products
American Cheese,2016,8,4.273,Dairy Products
American Cheese,2016,9,4.396,Dairy Products
American Cheese,2016,10,4.484,Dairy Products
American Cheese,2016,11,4.322,Dairy Products
American Cheese,2016,12,4.214,Dairy Products
American Cheese,2017,1,4.322,Dairy Products
American Cheese,2017,2,4.293,Dairy Products
American Cheese,2017,3,4.271,Dairy Products
American Cheese,2017,4,4.352,Dairy Products
American Cheese,2017,5,4.393,Dairy Products
American Cheese,2017,6,4.306,Dairy Products
American Cheese,2017,7,4.282,Dairy Products
American Cheese,2017,8,4.241,Dairy Products
American Cheese,2017,9,4.203,Dairy Products
American Cheese,2017,10,4.089,Dairy Products
American Cheese,2017,11,4.091,Dairy Products
American Cheese,2017,12,4.13,Dairy Products
American Cheese,2018,1,4.015,Dairy Products
American Cheese,2018,2,4.064,Dairy Products
American Cheese,2018,3,4.105,Dairy Products
American Cheese,2018,4,4.034,Dairy Products
American Cheese,2018,5,4.025,Dairy Products
